contamination,rmse_mean,rmse_std
0.0,0.03523959236029415,0.018550902442613973
0.1,0.040991385011881576,0.015749601606019445
0.2,0.036242338511323163,0.01752133569614
0.3,0.04235531093285645,0.017438294254981038
0.4,0.042322562277209635,0.023141023658855175
0.5,0.044392114347899403,0.02952527117669344
0.6,0.3795339633267369,0.01779294382527787
0.7,0.6526901492473486,0.019039760988377846
0.8,0.73582174938293236,0.021380505442381745
0.9,0.8596207905728382,0.03429230286222682
1.0,1.5677945164338285,0.033782014939822436
